hts8|brief_description|quantity_1_code|quantity_2_code|wto_binding_code|mfn_text_rate|mfn_rate_type_code|mfn_ad_val_rate|mfn_specific_rate|mfn_other_rate|col1_special_text|gsp_indicator|gsp_ctry_excluded|apta_indicator|civil_air_indicator|nafta_canada_ind|nafta_mexico_ind|mexico_rate_type_code|mexico_ad_val_rate|mexico_specific_rate|cbi_indicator|cbi_ad_val_rate|cbi_specific_rate|agoa_indicator|cbtpa_indicator|cbtpa_rate_type_code|cbtpa_ad_val_rate|cbtpa_specific_rate|israel_fta_indicator|atpa_indicator|atpa_ad_val_rate|atpa_specific_rate|atpdea_indicator|jordan_indicator|jordan_rate_type_code|jordan_ad_val_rate|jordan_specific_rate|jordan_other_rate|singapore_indicator|singapore_rate_type_code|singapore_ad_val_rate|singapore_specific_rate|singapore_other_rate|chile_indicator|chile_rate_type_code|chile_ad_val_rate|chile_specific_rate|chile_other_rate|morocco_indicator|morocco_rate_type_code|morocco_ad_val_rate|morocco_specific_rate|morocco_other_rate|australia_indicator|australia_rate_type_code|australia_ad_val_rate|australia_specific_rate|australia_other_rate|pharmaceutical_ind|dyes_indicator|col2_text_rate|col2_rate_type_code|col2_ad_val_rate|col2_specific_rate|col2_other_rate|begin_effect_date|end_effective_date|footnote_comment|additional_duty
28352300|Trisodium phosphate|KG||B|2.2%|7|0.022|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||11.5%|7|0.115|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28352300|Trisodium phosphate|KG||B|2.2%|7|0.022|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||11.5%|7|0.115|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28352400|Potassium phosphate|KG||B|3.1%|7|0.031|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28352400|Potassium phosphate|KG||B|3.1%|7|0.031|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28352500|Calcium hydrogenorthophosphate ("Dicalcium phosphate")|KG||B|Free|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||25%|7|0.25|0|0|01/01/1989 00:00:00|12/31/2020 00:00:00||
28352600|Other phosphates of calcium, nesoi|KG||B|Free|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||25%|7|0.25|0|0|01/01/1989 00:00:00|12/31/2020 00:00:00||
28352910|Aluminum phosphate|KG||B|Free|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||25%|7|0.25|0|0|01/01/1989 00:00:00|12/31/2020 00:00:00||
28352920|Triammonium phosphate|KG||B|1.5%|7|0.015|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||8.5%|7|0.085|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28352920|Triammonium phosphate|KG||B|1.5%|7|0.015|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||8.5%|7|0.085|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28352950|Phosphates, nesoi|KG||B|4.1%|7|0.041|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28352950|Phosphates, nesoi|KG||B|4.1%|7|0.041|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28353100|Sodium triphosphate (Sodium tripolyphosphate)|KG||B|1.4%|7|0.014|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||6%|7|0.06|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28353100|Sodium triphosphate (Sodium tripolyphosphate)|KG||B|1.4%|7|0.014|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||6%|7|0.06|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28353910|Potassium polyphosphate|KG||B|3.1%|7|0.031|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28353910|Potassium polyphosphate|KG||B|3.1%|7|0.031|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28353950|Polyphosphates, other than sodium triphosphate and potassium polyphosphate|KG||B|3.7%|7|0.037|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28353950|Polyphosphates, other than sodium triphosphate and potassium polyphosphate|KG||B|3.7%|7|0.037|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28361000|Commercial ammonium carbonate, containing ammonium carbamate, and other ammonium carbonates|KG||B|1.7%|7|0.017|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||16%|7|0.16|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28361000|Commercial ammonium carbonate, containing ammonium carbamate, and other ammonium carbonates|KG||B|1.7%|7|0.017|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||16%|7|0.16|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28362000|Disodium carbonate|KG||B|1.2%|7|0.012|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||8.5%|7|0.085|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28371900|Cyanides and cyanide oxides, except those of sodium|KG||B|Free|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||Free|0|0|0|0|01/01/1989 00:00:00|12/31/2020 00:00:00||
28362000|Disodium carbonate|KG||B|1.2%|7|0.012|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||8.5%|7|0.085|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28363000|Sodium hydrogencarbonate (Sodium bicarbonate)|KG||B|Free|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||Free|0|0|0|0|01/01/1989 00:00:00|12/31/2020 00:00:00||
28364010|Dipotassium carbonate|KG||B|1.9%|7|0.019|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||6%|7|0.06|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28364010|Dipotassium carbonate|KG||B|1.9%|7|0.019|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||6%|7|0.06|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28364020|Potassium hydrogencarbonate (Potassium bicarbonate)|KG||B|1.3%|7|0.013|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||4.8%|7|0.048|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28364020|Potassium hydrogencarbonate (Potassium bicarbonate)|KG||B|1.3%|7|0.013|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||4.8%|7|0.048|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28365000|Calcium carbonate|KG||B|Free|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||25%|7|0.25|0|0|01/01/1989 00:00:00|12/31/2020 00:00:00||
28366000|Barium carbonate|KG||B|2.3%|7|0.023|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||8.4%|7|0.084|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28366000|Barium carbonate|KG||B|2.3%|7|0.023|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||8.4%|7|0.084|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28367000|Lead carbonate|KG||B|0.5%|7|0.005|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||4.5%|7|0.045|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28367000|Lead carbonate|KG||B|0.5%|7|0.005|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||4.5%|7|0.045|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28369100|Lithium carbonates|KG||B|3.7%|7|0.037|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28369100|Lithium carbonates|KG||B|3.7%|7|0.037|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28369200|Strontium carbonate|KG||B|4.2%|7|0.042|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28369200|Strontium carbonate|KG||B|4.2%|7|0.042|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28369910|Cobalt carbonates|KG||B|4.2%|7|0.042|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||30%|7|0.3|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28369910|Cobalt carbonates|KG||B|4.2%|7|0.042|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||30%|7|0.3|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28369920|Bismuth carbonate|KG||B|5.5%|7|0.055|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX); 2.7% (SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|7|0.027|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||35%|7|0.35|0|0|07/01/2005 00:00:00|12/31/2005 00:00:00||
28369920|Bismuth carbonate|KG||B|5.5%|7|0.055|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX); 2.7% (SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|7|0.027|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||35%|7|0.35|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28369950|Carbonates nesoi, and peroxocarbonates (percarbonates)|KG||B|3.7%|7|0.037|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28369950|Carbonates nesoi, and peroxocarbonates (percarbonates)|KG||B|3.7%|7|0.037|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28371100|Sodium cyanide|KG||B|Free|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||Free|0|0|0|0|01/01/1989 00:00:00|12/31/2020 00:00:00||
28372010|Potassium ferricyanide|KG||B|1.1%|7|0.011|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||5.1%|7|0.051|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28372010|Potassium ferricyanide|KG||B|1.1%|7|0.011|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||5.1%|7|0.051|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28372050|Complex cyanides, excluding potassium ferricyanide|KG||B|1.7%|7|0.017|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||8.5%|7|0.085|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28372050|Complex cyanides, excluding potassium ferricyanide|KG||B|1.7%|7|0.017|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||8.5%|7|0.085|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
